PropertySize,LandValue,LivingArea,Age,Rooms,Bedrooms,Bathrooms,Fireplaces,HeatingSystem,HeatingFuel,SewerSystem,HasCentralAC,AtWaterfront,NeighborhoodHigherEdPct,Price
4047,37923,113,19,5,3,2.0,0,electric,electricity,public,No,No,63,138462
243,35231,120,15,5,3,1.5,1,air,gas,public,No,No,57,126923
1942,21692,161,45,7,4,2.0,0,air,gas,public,No,No,64,173000
2145,24077,232,13,7,3,2.5,1,air,gas,septic,No,No,64,234615
1659,81308,147,31,6,4,1.5,0,air,gas,public,Yes,No,57,169231
2469,27000,166,36,7,4,1.5,1,air,gas,public,Yes,No,63,153750
4047,6154,94,45,7,3,1.0,0,air,gas,septic,No,No,44,57692
3440,38769,255,34,12,4,3.5,2,water/steam,oil,septic,No,No,27,184615
10562,12077,191,1,9,3,2.5,1,water/steam,oil,septic,No,No,27,226923
3844,8615,153,15,7,3,2.0,0,electric,electricity,septic,No,No,62,173077
1335,20769,140,17,6,3,1.5,1,electric,electricity,public,No,No,40,171538
2023,3077,174,5,7,3,2.5,1,air,gas,public,No,No,40,200615
1295,20769,154,18,4,3,1.5,1,air,gas,public,No,No,54,142231
1376,10077,110,49,6,2,1.0,0,air,oil,septic,Yes,No,60,118462
283,1385,137,15,5,2,2.5,1,air,gas,public,Yes,No,54,99923
162,27692,131,103,3,2,1.0,0,air,gas,public,No,No,57,130000
2023,21538,184,35,8,3,1.5,0,water/steam,gas,septic,No,No,64,112308
1376,20846,168,42,6,4,1.5,0,water/steam,gas,septic,No,No,61,200000
2023,22308,210,30,9,4,2.5,1,water/steam,gas,public,No,No,63,188462
486,12923,125,15,4,2,2.5,1,air,gas,public,Yes,No,64,111154
1659,19538,260,36,8,4,2.5,1,water/steam,gas,public,No,No,64,194353
1821,24846,163,35,7,4,1.5,1,air,gas,public,No,No,64,173077
1295,41462,198,0,9,4,2.5,1,air,gas,public,Yes,No,64,173077
4168,31923,158,63,10,5,1.0,0,water/steam,oil,septic,No,No,41,92231
486,39462,176,113,8,4,1.5,0,water/steam,oil,public,No,No,57,253846
1902,19615,175,7,8,4,2.5,1,air,gas,public,Yes,No,64,153000
1942,15769,129,73,5,3,2.0,0,air,oil,septic,No,No,52,103692
2549,13615,148,20,6,3,2.0,1,water/steam,gas,septic,No,No,52,169231
3521,31615,206,10,10,3,2.0,1,air,gas,public,No,No,63,209231
688,89769,326,1,12,4,2.5,1,air,gas,public,No,No,64,390769
1862,28154,196,13,8,4,3.5,1,air,gas,public,Yes,No,64,190000
364,13538,120,24,3,2,1.5,1,air,gas,public,Yes,No,64,106923
364,24000,190,12,7,4,2.5,1,air,gas,septic,Yes,No,52,179231
3723,2000,148,11,6,2,2.0,1,air,oil,septic,Yes,No,36,196538
2671,40769,206,19,8,4,2.5,1,air,gas,public,Yes,No,63,191538
688,28923,109,5,4,2,2.5,1,air,gas,public,No,No,62,168077
1093,43462,129,105,4,2,1.0,1,electric,electricity,public,No,Yes,40,250000
1174,27538,158,4,7,3,2.5,1,air,gas,public,Yes,No,63,153846
1700,46308,119,36,4,3,1.0,1,air,gas,public,No,No,57,102308
1133,4846,142,18,7,4,2.0,0,air,oil,septic,No,No,52,70769
1942,28538,298,4,9,4,2.5,1,air,gas,public,Yes,No,63,276154
283,12923,137,18,4,3,1.5,1,air,gas,public,Yes,No,64,80000
1902,15385,186,7,10,4,2.5,1,air,gas,public,No,No,63,220000
4047,19231,391,25,12,5,3.5,2,water/steam,gas,septic,No,No,57,334615
1902,18923,160,27,5,3,1.5,1,electric,electricity,public,No,No,64,168462
2711,30462,150,16,8,3,1.5,1,air,gas,public,Yes,No,64,190769
1416,28077,215,6,7,4,2.5,1,air,gas,public,Yes,No,64,163462
1578,16769,114,52,6,3,1.0,1,air,oil,septic,No,No,60,117692
1700,20154,171,10,8,4,2.5,1,air,gas,septic,Yes,No,64,161154
2023,11538,152,30,8,4,2.5,1,water/steam,gas,septic,No,No,57,130000
688,12154,92,22,4,2,2.0,0,air,gas,public,No,No,51,122308
1862,4462,97,32,5,3,1.5,1,water/steam,oil,public,No,No,47,115703
1538,16385,118,48,5,4,1.5,1,air,gas,septic,No,No,60,126923
324,13231,128,21,3,2,1.5,1,electric,electricity,public,No,No,63,105385
2914,20923,175,5,9,3,2.5,1,air,gas,septic,No,No,57,232308
2104,3462,78,13,4,2,1.0,0,air,gas,septic,No,No,38,71161
1457,2769,89,48,3,2,1.0,0,air,gas,septic,No,No,36,105385
2226,19462,295,14,12,4,3.5,1,air,gas,public,Yes,No,57,214615
2428,24615,249,33,11,4,2.5,1,water/steam,gas,public,No,No,63,124019
3602,32000,184,9,6,3,2.5,0,air,gas,public,Yes,No,64,180692
647,42231,105,36,4,3,1.0,0,air,gas,public,No,No,57,100000
647,4000,242,17,12,4,3.0,0,electric,electricity,septic,No,No,38,214231
2023,22308,210,20,11,4,2.5,1,water/steam,gas,public,No,No,64,196923
486,68462,136,110,5,2,1.0,0,water/steam,gas,public,No,No,62,171538
1174,7462,100,14,7,2,1.0,0,air,gas,public,Yes,No,40,123077
13274,30692,177,11,9,3,2.5,1,air,oil,septic,Yes,No,43,257692
4047,12231,241,0,9,4,2.5,1,air,gas,none,No,No,51,178829
1740,4308,149,21,4,3,1.5,0,electric,electricity,public,No,No,39,80692
4290,96231,451,14,12,5,4.0,2,air,oil,septic,Yes,No,57,476923
3399,159769,198,25,7,3,2.5,2,air,gas,public,Yes,No,57,174615
364,13538,137,20,4,3,1.5,0,air,gas,public,No,No,64,111923
1295,3577,89,15,4,3,1.0,0,electric,electricity,public,No,No,61,132000
2307,42000,218,10,10,3,2.5,0,air,gas,public,Yes,No,63,261462
1133,49231,101,41,4,3,1.0,1,water/steam,gas,public,No,No,62,173462
12140,41231,165,10,6,2,2.0,0,air,oil,public,Yes,No,52,257692
1174,15000,128,23,4,2,1.5,0,air,gas,public,No,No,64,119231
1335,20769,197,16,10,4,2.0,1,electric,electricity,public,No,No,54,157692
1619,19231,180,25,8,4,2.5,1,water/steam,gas,public,No,No,63,207615
16592,20462,237,15,7,3,2.5,0,water/steam,oil,septic,No,No,54,242308
607,308,163,13,6,2,2.5,1,air,gas,public,Yes,No,47,223077
1983,11538,203,1,8,3,2.5,1,air,gas,septic,Yes,No,51,203846
405,13846,120,29,5,3,1.5,0,air,gas,public,Yes,No,64,84923
2307,23000,139,59,7,2,1.0,1,air,gas,public,No,No,75,119231
1740,67538,256,2,10,3,2.5,1,air,gas,public,Yes,No,57,500000
647,12000,84,17,4,2,1.0,0,electric,electricity,public,No,No,54,96923
688,3538,135,29,6,3,2.0,0,air,oil,public,No,No,57,118462
11493,46308,143,55,7,2,1.0,1,water/steam,gas,septic,No,No,64,106923
647,12077,84,19,6,2,1.0,0,air,gas,public,No,No,52,82462
1214,18846,180,30,9,3,1.5,1,air,gas,public,Yes,No,64,151923
1295,111462,101,42,4,2,2.0,0,air,gas,public,Yes,No,62,203846
647,42231,148,38,4,3,1.5,0,air,gas,public,No,No,62,138462
2185,26692,182,38,10,4,2.0,1,air,gas,public,No,No,64,172308
1457,9308,125,10,3,2,2.0,1,air,gas,public,Yes,No,52,121538
2388,2385,87,10,6,3,1.0,0,air,gas,septic,Yes,No,44,84615
8094,28154,205,35,8,4,1.5,1,electric,electricity,septic,No,No,52,292308
1578,15692,102,9,3,2,1.0,0,air,gas,public,No,No,51,149923
202,24615,172,6,8,3,2.5,0,electric,electricity,public,Yes,No,57,135731
567,27077,117,0,8,3,2.0,0,air,gas,public,Yes,No,57,127692
243,1231,137,14,6,3,1.5,0,air,gas,public,No,No,52,80000
607,11615,110,20,3,2,1.5,0,electric,electricity,public,No,No,40,111538
688,7846,100,57,6,2,1.0,0,air,oil,public,No,No,40,117692
1862,25154,179,36,9,4,1.5,1,air,gas,public,Yes,No,63,138462
688,31154,178,9,5,3,2.5,1,air,gas,public,No,No,64,203846
1942,36462,287,11,11,4,2.5,1,air,gas,public,Yes,No,64,301922
1862,18846,160,26,7,3,1.5,1,electric,electricity,public,No,No,63,146923
647,11615,129,17,7,2,1.5,1,electric,electricity,public,No,No,54,101231
1457,41462,220,2,11,5,2.5,1,air,gas,public,Yes,No,63,220769
1295,26923,173,0,9,3,2.5,1,air,gas,public,No,No,64,150123
2307,48077,90,85,4,3,1.0,0,air,oil,public,No,No,62,153846
2590,25538,237,35,9,4,2.5,1,water/steam,gas,public,No,No,64,201538
2226,83769,252,1,12,4,3.0,0,air,gas,public,No,No,40,236838
647,12077,85,21,3,2,1.5,1,air,gas,public,No,No,40,111538
931,47077,133,33,8,3,1.5,0,air,gas,public,Yes,No,57,253846
1052,16846,177,30,5,3,1.5,1,air,gas,public,Yes,No,64,179231
890,55385,152,50,4,3,1.0,0,water/steam,gas,public,No,No,62,233000
4047,385,181,12,7,3,2.5,1,air,oil,none,No,No,36,155385
2104,10000,149,18,4,3,2.5,0,electric,electricity,public,No,No,64,205000
243,12615,137,19,5,3,1.5,0,electric,electricity,public,No,No,64,66923
607,5538,87,25,3,2,1.5,1,water/steam,gas,public,No,No,35,103846
1740,19231,121,15,7,3,1.5,0,air,gas,septic,No,No,54,155385
3116,36154,161,44,9,3,2.0,1,air,oil,septic,Yes,No,63,193077
971,37769,127,33,7,3,1.0,0,air,gas,public,No,No,57,96154
2064,19231,161,25,8,3,1.5,1,water/steam,gas,public,No,No,40,176154
405,65385,138,79,5,4,1.5,0,air,gas,public,No,No,57,215385
7001,8846,120,34,5,3,1.0,0,water/steam,oil,septic,No,No,50,153846
647,11615,100,25,4,2,1.0,1,air,gas,public,Yes,No,54,100000
1376,20769,152,18,6,3,2.0,1,electric,electricity,public,No,No,52,132846
1376,10000,140,19,8,3,2.0,0,air,oil,public,Yes,No,64,145769
567,15077,125,18,4,2,1.5,1,air,gas,public,Yes,No,64,141425
445,38769,98,80,6,2,1.0,0,water/steam,gas,public,No,No,57,128462
2549,25308,215,39,9,5,2.5,1,water/steam,gas,public,No,No,64,200000
1457,20769,140,20,8,3,2.0,1,air,gas,public,No,No,54,153846
567,16231,205,13,9,4,2.5,1,air,gas,septic,No,No,57,165385
1416,21385,154,40,8,3,1.0,1,water/steam,gas,public,No,No,64,167154
2873,46923,171,73,8,4,2.0,0,air,oil,septic,No,Yes,71,223077
3683,59385,232,17,7,4,3.0,1,water/steam,gas,public,Yes,No,64,276923
3723,4231,77,16,5,3,1.5,0,electric,electricity,septic,No,No,45,99115
2307,51769,276,12,11,4,3.0,1,air,oil,public,Yes,No,63,253846
3237,27308,175,38,9,4,2.5,1,water/steam,gas,public,No,No,64,145385
1174,17000,96,16,7,2,1.0,0,electric,electricity,public,No,No,64,65385
1862,20231,149,30,5,4,2.5,1,water/steam,gas,public,No,No,64,132308
850,14692,115,19,6,2,2.0,1,electric,electricity,public,Yes,No,63,120385
647,12077,85,20,6,2,1.5,1,electric,electricity,public,No,No,54,7923
1983,19154,111,28,7,4,2.0,1,air,gas,public,No,No,64,165385
850,6538,86,82,6,2,1.0,0,water/steam,oil,septic,No,No,35,46154
2671,24000,214,15,11,4,2.5,1,air,gas,septic,Yes,No,51,223077
162,1077,106,30,5,3,1.5,0,electric,electricity,public,No,No,33,45000
2023,11769,146,13,7,3,1.5,1,water/steam,gas,public,No,No,54,153077
2145,50615,190,19,10,4,2.5,1,air,gas,public,Yes,No,63,184538
526,14000,104,16,6,2,1.5,1,air,gas,public,Yes,No,64,133846
2792,5000,134,33,6,3,2.0,2,water/steam,gas,septic,No,No,44,106971
15378,11077,141,19,3,2,1.0,0,water/steam,oil,septic,No,No,57,160769
1538,10000,271,0,10,4,3.0,1,air,gas,septic,Yes,No,64,339046
20234,18538,94,17,5,2,1.0,0,electric,electricity,septic,No,No,40,172615
1862,68923,238,0,9,3,2.5,1,air,gas,public,Yes,No,57,207692
1214,26154,156,28,8,3,2.5,1,air,gas,public,Yes,No,61,190000
1862,10615,137,20,8,3,2.0,1,air,gas,septic,No,No,57,140385
607,1923,94,15,4,3,1.0,0,air,gas,public,No,No,36,102308
24564,19769,115,14,5,3,2.0,0,air,oil,septic,No,No,57,173077
1619,23077,229,32,9,5,2.5,1,air,gas,public,Yes,No,64,144538
2104,3462,125,13,5,3,2.0,0,air,gas,septic,No,No,38,100000
1619,13846,62,50,5,2,1.0,0,electric,electricity,public,No,No,52,80769
1497,83769,252,0,10,4,3.0,1,air,gas,public,No,No,40,242262
1902,10846,169,15,7,3,2.0,1,air,gas,septic,No,No,57,150000
1578,83769,245,1,9,4,3.0,1,air,gas,public,No,No,40,263284
2307,11538,262,6,10,4,2.5,1,air,gas,public,No,No,57,224615
2428,24615,215,38,10,4,2.5,1,water/steam,gas,public,No,No,63,148846
1942,37308,229,23,8,5,3.5,2,air,gas,public,Yes,No,64,188462
2347,60231,121,52,4,3,1.0,1,water/steam,gas,septic,No,No,57,184615
1983,49538,169,17,5,3,2.5,1,electric,electricity,public,Yes,No,57,150000
607,11615,129,16,4,2,1.5,0,electric,electricity,public,No,No,52,89154
4047,13538,144,19,4,3,2.0,1,electric,electricity,septic,No,No,57,106154
2266,23692,251,35,10,4,2.5,1,water/steam,gas,public,No,No,63,167308
1942,69846,188,0,8,3,2.5,1,air,gas,public,Yes,No,57,184615
1133,17846,152,52,5,4,1.5,0,air,oil,septic,No,No,63,120692
364,12154,176,48,7,4,2.0,1,air,oil,septic,Yes,No,60,153077
4047,21000,281,153,12,4,1.0,0,air,oil,septic,No,No,51,60385
526,16077,140,18,3,2,1.5,1,electric,electricity,public,Yes,No,64,138462
1497,28846,212,4,7,4,2.5,1,air,gas,public,No,No,64,192231
1133,7538,116,70,4,3,1.5,0,water/steam,gas,public,No,No,40,115385
1255,2615,144,85,8,3,1.5,0,air,oil,public,No,No,27,103846
2064,11231,118,47,7,3,1.0,0,water/steam,oil,public,No,No,21,76923
2226,3385,186,0,7,4,2.5,0,air,gas,public,No,No,52,143077
1214,83769,220,1,7,4,3.0,1,air,gas,public,Yes,No,40,209768
2185,14538,203,11,11,4,2.5,0,air,gas,public,Yes,No,57,160000
728,92077,177,0,4,2,2.5,1,air,gas,public,Yes,No,57,191715
2549,50385,72,19,6,1,1.0,0,air,oil,public,No,No,57,242308
364,24615,87,11,3,1,1.0,0,electric,electricity,public,No,Yes,52,230769
1214,65077,158,27,6,3,1.5,1,air,gas,public,Yes,No,57,121154
1862,12385,236,3,10,4,2.5,1,air,gas,public,No,No,64,270077
1659,3692,193,57,7,3,2.0,1,air,oil,septic,No,No,36,169231
324,769,143,9,7,3,1.5,0,air,gas,septic,Yes,No,36,129231
1174,22308,237,5,12,4,2.5,1,air,gas,public,Yes,No,64,201538
688,4615,210,124,8,4,1.5,0,air,gas,public,Yes,No,54,116923
1214,40769,127,33,8,3,2.0,1,air,gas,public,Yes,No,62,119231
364,769,82,57,7,3,1.0,0,air,gas,public,No,No,36,54231
1578,22769,167,38,10,4,1.5,1,air,gas,septic,No,No,64,127565
2873,27000,176,32,6,4,2.5,1,water/steam,gas,public,No,No,64,140385
1214,29462,106,76,5,3,2.0,0,air,gas,public,Yes,Yes,50,292308
486,68462,132,73,5,3,1.5,0,water/steam,gas,public,No,No,57,253846
1416,9231,124,22,4,2,1.5,1,electric,electricity,septic,Yes,No,62,103846
4047,13692,189,7,7,4,2.5,1,water/steam,gas,septic,No,No,54,188462
1295,5000,151,30,4,2,1.5,1,water/steam,oil,septic,No,No,44,83077
1416,20769,177,20,7,4,2.0,1,electric,electricity,public,No,No,54,165000
405,20000,156,14,5,3,2.5,1,air,gas,public,Yes,No,64,111462
2428,12308,213,19,7,4,2.5,1,air,gas,septic,Yes,No,57,146154
10845,16462,211,11,8,4,3.5,1,water/steam,oil,septic,No,No,54,130769
1295,37077,111,1,4,3,1.5,0,air,gas,public,Yes,No,57,121538
243,24615,204,0,8,4,2.5,0,air,gas,public,No,No,52,162309
1862,25154,135,33,9,4,2.0,1,air,gas,public,Yes,No,64,184615
1255,20769,142,16,7,2,2.0,1,electric,electricity,public,No,No,52,115769
162,1846,141,130,8,3,1.0,0,air,gas,public,No,No,64,96154
1335,20000,186,7,7,4,2.5,0,air,gas,public,No,No,64,200000
1295,4769,146,1,7,3,2.5,0,air,gas,septic,Yes,No,39,114335
2064,20692,123,11,8,3,2.0,0,air,gas,public,No,No,63,161538
1781,20000,171,9,8,3,2.5,0,air,gas,public,Yes,No,64,214615
2307,25538,210,35,9,4,2.5,1,air,gas,public,Yes,No,77,196154
1942,9231,164,33,7,3,1.5,1,air,oil,septic,No,No,62,118077
445,66923,132,83,7,3,2.0,0,water/steam,gas,public,No,No,57,205385
29299,28154,188,43,6,4,3.0,2,water/steam,gas,septic,No,No,71,225385
2347,179231,267,1,9,4,2.5,1,air,gas,public,Yes,No,64,349181
2752,44000,286,9,12,4,2.5,1,air,gas,public,Yes,No,64,291538
647,12077,85,20,4,2,1.5,1,electric,electricity,public,No,No,54,7923
647,28308,155,0,7,3,2.5,0,air,gas,public,Yes,No,57,129923
1659,34077,223,35,11,4,2.5,1,air,gas,septic,No,No,63,190769
2792,13000,145,15,6,3,2.0,1,air,gas,public,No,No,57,171154
1659,20154,155,35,6,3,1.5,1,air,gas,public,Yes,No,64,135385
1497,18846,93,37,6,3,1.0,1,water/steam,gas,public,No,No,63,130769
2711,16231,107,56,3,1,2.0,0,air,gas,septic,No,No,64,104231
405,13846,137,21,7,2,1.5,1,electric,electricity,public,No,No,64,127692
688,12154,85,19,4,2,1.5,1,electric,electricity,public,No,No,40,115308
5220,16615,195,19,7,4,3.0,1,air,gas,septic,Yes,No,57,192308
1700,14231,136,32,9,4,1.5,0,air,gas,septic,Yes,No,60,107692
4047,17692,71,29,6,2,1.0,0,electric,electricity,septic,No,No,35,130769
2995,2077,82,95,2,1,1.0,0,air,oil,septic,No,No,50,85385
1862,25154,135,32,7,4,2.0,1,air,gas,public,No,No,63,157769
567,71538,108,84,4,3,1.5,0,water/steam,gas,public,No,No,57,215385
2064,30462,187,15,7,3,2.5,1,air,gas,public,Yes,No,64,158462
283,10846,66,77,7,2,1.0,1,air,oil,septic,No,No,57,94615
11817,15385,252,1,10,3,2.5,1,air,gas,septic,Yes,No,36,319231
1902,19615,123,11,7,3,2.5,0,air,gas,public,No,No,63,144231
890,55385,105,46,8,3,2.0,1,water/steam,gas,public,No,No,57,176154
1902,10846,310,1,12,4,3.5,1,air,gas,public,Yes,No,63,353846
1983,83769,292,1,10,4,2.5,1,air,gas,public,Yes,No,40,252664
1740,19231,121,15,4,3,1.5,0,air,gas,septic,No,No,54,155385
1983,28385,214,4,7,4,2.5,1,air,gas,public,Yes,No,63,226923
1700,67077,301,4,11,4,2.5,0,air,gas,public,Yes,No,57,329615
1497,33077,242,18,8,4,2.5,1,air,gas,septic,Yes,No,64,169231
4047,98846,203,14,10,3,2.5,0,air,gas,none,Yes,No,62,439231
1295,83769,244,1,10,4,3.0,1,air,gas,public,No,No,40,218919
607,11615,129,17,7,3,1.5,0,electric,electricity,public,No,No,54,111538
4047,18692,275,0,10,4,2.5,1,air,gas,septic,Yes,No,64,279008
1942,21692,215,39,11,5,2.5,1,water/steam,gas,public,No,No,63,150000
7851,84615,196,5,9,3,2.0,1,air,gas,septic,Yes,No,40,225385
2792,64231,253,1,9,3,2.0,1,air,gas,septic,Yes,No,61,315038
4897,11231,154,23,9,4,1.5,1,air,oil,septic,No,No,35,130769
607,16154,125,17,6,2,2.5,1,air,gas,public,Yes,No,63,140769
647,11615,110,19,8,3,1.5,0,water/steam,gas,public,No,No,52,84538
1295,20769,120,18,4,3,1.0,0,electric,electricity,public,No,No,54,145308
486,150000,135,69,5,3,2.0,1,water/steam,gas,public,No,No,62,288462
1619,83769,263,1,9,4,3.0,1,air,gas,public,Yes,No,40,221530
364,1846,137,15,7,3,1.5,1,water/steam,gas,public,No,No,52,69308
2104,28692,195,14,8,4,2.5,1,air,gas,public,Yes,No,64,170000
2307,23923,175,8,7,3,2.5,1,air,gas,public,No,No,63,180000
1862,6000,111,20,6,2,1.0,0,electric,electricity,septic,No,No,62,132308
3480,27385,184,3,8,3,2.5,1,air,gas,septic,No,No,64,171077
4047,3846,226,27,9,4,1.0,0,electric,electricity,septic,Yes,No,50,163077
4047,12923,123,22,5,3,2.0,0,electric,electricity,septic,No,No,57,106154
21651,106000,156,37,8,4,2.0,0,air,oil,septic,Yes,No,62,200000
647,12077,85,20,5,2,1.5,0,electric,electricity,public,No,No,54,88462
2995,27462,163,10,7,3,2.5,1,air,gas,public,No,No,64,180769
1335,20769,145,17,6,3,1.5,1,air,gas,public,No,No,52,113846
2428,43846,269,9,12,4,2.5,2,air,gas,public,Yes,No,63,307692
607,11615,131,20,3,2,1.5,0,electric,electricity,public,No,No,40,123538
1619,8077,122,103,7,3,1.5,0,water/steam,gas,septic,No,No,51,47692
1862,10615,178,25,8,3,2.0,0,air,gas,septic,No,No,62,165385
2388,3385,98,37,6,3,1.0,0,air,gas,septic,No,No,36,123846
1376,61538,202,41,8,4,2.5,1,electric,electricity,septic,Yes,No,62,276923
2509,11615,127,38,6,3,1.5,0,air,gas,septic,No,No,63,134538
3966,8615,239,16,10,3,1.5,0,water/steam,oil,septic,No,No,36,146077
1983,179231,308,0,12,4,2.5,1,air,gas,public,Yes,No,64,310031
2509,24308,142,14,6,2,2.0,1,air,gas,septic,Yes,No,64,192308
850,14692,106,19,4,2,1.0,1,electric,electricity,public,No,No,64,115385
1862,54000,80,44,7,2,1.0,0,air,gas,public,No,No,57,137692
1416,21385,167,42,9,4,1.5,1,air,gas,septic,Yes,No,64,176923
1376,9154,182,3,8,4,2.5,1,air,gas,public,No,No,64,246077
1862,36923,240,26,12,4,2.5,1,air,oil,public,Yes,No,64,245385
567,15077,125,15,5,2,1.5,1,electric,electricity,public,Yes,No,64,103846
2104,3000,85,75,4,2,1.0,0,air,gas,septic,No,No,44,34615
1862,10615,176,27,9,3,2.5,0,air,gas,septic,Yes,No,62,161538
2023,13462,195,0,8,4,2.5,1,air,gas,public,No,No,64,196346
1497,18846,174,16,10,4,3.0,1,air,gas,public,No,No,63,173077
2914,31000,194,15,5,3,2.5,1,air,gas,public,Yes,No,64,180769
445,3000,123,29,5,3,3.0,0,electric,electricity,public,No,No,57,102308
688,11615,139,16,8,3,2.5,0,electric,electricity,public,No,No,52,86923
4047,12308,89,11,5,3,1.0,0,air,gas,septic,No,No,62,111538
4047,16154,94,24,3,2,1.0,0,air,gas,septic,Yes,No,52,107692
2185,83769,257,1,9,4,3.0,1,air,gas,septic,No,No,40,230984
647,12000,84,17,4,2,1.0,0,electric,electricity,public,No,No,54,96923
2873,27000,168,36,7,4,2.5,1,water/steam,gas,public,No,No,63,163077
4047,96000,321,20,12,3,2.5,2,electric,electricity,septic,Yes,No,57,345385
1862,28154,290,1,12,4,2.5,1,air,gas,public,Yes,No,63,284615
1862,1615,84,44,3,2,1.0,0,air,gas,septic,No,No,38,67346
4047,27692,169,19,7,3,1.5,1,air,gas,septic,Yes,No,64,158462
567,16154,127,19,5,2,1.5,1,air,gas,public,Yes,No,63,137692
647,11615,139,16,8,3,2.5,1,electric,electricity,public,No,No,52,95000
283,36000,107,94,3,2,1.5,0,air,gas,public,No,No,57,106154
647,38769,161,28,6,3,1.5,0,air,gas,public,No,No,57,109231
243,35231,120,16,7,2,1.5,0,air,gas,public,Yes,No,62,156154
4856,13769,104,42,6,2,1.5,0,air,oil,septic,No,No,62,148077
1497,10000,185,19,4,2,1.0,0,electric,electricity,public,No,No,63,101923
2630,12692,231,27,7,4,2.5,1,air,gas,septic,No,No,62,200000
1416,179231,309,0,12,4,2.5,1,air,gas,public,Yes,No,63,273435
2630,3077,190,2,8,4,2.5,0,air,oil,septic,No,No,27,168462
1700,23769,171,35,7,4,1.5,0,air,gas,public,Yes,No,64,207692
1902,15385,217,6,10,4,3.5,1,air,gas,public,Yes,No,64,215308
1902,57846,221,19,8,3,2.5,1,air,gas,public,Yes,No,63,225000
2549,7308,201,54,7,2,1.5,0,water/steam,oil,septic,No,No,57,173077
567,5692,78,0,7,2,1.0,0,air,gas,public,Yes,No,36,67769
809,2615,114,77,8,3,1.0,1,air,gas,public,No,No,38,97692
2145,51154,103,35,3,2,1.0,0,air,gas,public,Yes,No,62,142308
567,34769,184,1,5,3,2.5,1,air,gas,public,Yes,No,64,158446
4047,75769,149,25,7,3,1.5,1,air,gas,septic,Yes,No,57,143846
2185,4385,169,35,8,4,1.5,0,water/steam,gas,septic,No,No,36,118846
2226,14846,124,11,7,3,2.0,1,air,gas,public,Yes,No,57,142308
1012,38462,119,32,8,3,1.0,0,air,gas,public,No,No,57,128462
1821,24846,146,35,7,3,1.5,1,air,gas,public,No,No,64,123077
2469,15000,98,1,4,3,2.0,0,water/steam,oil,septic,No,No,21,122308
364,5154,85,13,8,3,1.0,0,electric,electricity,public,No,No,40,95385
1255,20769,142,16,7,2,2.0,1,air,gas,public,Yes,No,54,133077
607,11615,151,19,6,3,2.5,0,electric,electricity,public,No,No,54,107692
1862,46538,205,16,7,3,2.5,1,air,gas,public,Yes,No,64,190769
283,12923,137,21,6,3,1.5,0,electric,electricity,public,No,No,64,115385
526,5692,128,0,4,3,2.0,0,air,gas,public,No,No,36,93058
1295,12615,155,116,7,3,2.0,0,air,gas,public,No,No,51,256923
